image_name,target
ISIC_8153919,0.001387859578244388
ISIC_8097670,0.028647584840655327
ISIC_1227734,0.007187776267528534
ISIC_7804487,0.08734612911939621
ISIC_8529178,0.14914490282535553
ISIC_3616494,0.0010694946395233274
ISIC_6450938,0.6939107179641724
ISIC_8258916,0.11580963432788849
ISIC_2834420,0.9193161129951477
ISIC_9363884,0.7672526240348816
ISIC_1210053,0.16150838136672974
ISIC_7034056,0.07248593121767044
ISIC_5434740,0.07928340882062912
ISIC_0760260,0.10867438465356827
ISIC_3689081,0.17253205180168152
ISIC_6485104,0.701894223690033
ISIC_4502319,0.7094020247459412
ISIC_0432894,0.6686944961547852
ISIC_2046064,0.003244484309107065
ISIC_8857552,0.3276912271976471
ISIC_8122560,0.5229458808898926
ISIC_2909747,0.05407794937491417
ISIC_3689915,0.01706012897193432
ISIC_3785713,0.14864371716976166
ISIC_1919639,0.21534112095832825
ISIC_7653431,0.024240348488092422
ISIC_9086006,0.3379310369491577
ISIC_4402945,0.4387706220149994
ISIC_6517556,0.3057617247104645
ISIC_3507357,0.17632584273815155
ISIC_4679978,0.25844475626945496
ISIC_6376631,0.04544781893491745
ISIC_1469237,0.23241111636161804
ISIC_7610804,0.40688401460647583
ISIC_7636412,0.8788900375366211
ISIC_3870547,0.4194750189781189
ISIC_5545935,0.026843147352337837
ISIC_3817768,0.6134717464447021
ISIC_9201634,0.0007501570507884026
ISIC_5253465,0.49899572134017944
ISIC_5857931,0.6744140386581421
ISIC_0758024,0.01946481503546238
ISIC_5044160,0.056573640555143356
ISIC_3496996,0.883189857006073
ISIC_9669857,0.8396134376525879
ISIC_5354157,0.457089900970459
ISIC_3735686,0.001246796571649611
ISIC_9032060,0.4103142023086548
ISIC_1667159,0.9434109330177307
ISIC_9742409,0.025637542828917503
ISIC_7225957,0.22271229326725006
ISIC_2931955,0.6297147870063782
ISIC_2482144,0.008671057410538197
ISIC_4972682,0.008635176345705986
ISIC_0199718,0.10732688754796982
ISIC_6235516,0.2909777760505676
ISIC_0877438,0.4946364164352417
ISIC_8623387,0.1665351837873459
ISIC_5879037,0.5656195878982544
ISIC_9019607,0.04180376976728439
ISIC_7695262,0.002817940665408969
ISIC_5399722,0.06318160146474838
ISIC_6147174,0.8911354541778564
ISIC_9968928,0.8640897870063782
ISIC_2828156,0.9294765591621399
ISIC_1302641,0.0032350774854421616
ISIC_8965291,0.0004890259588137269
ISIC_0497721,0.6492896676063538
ISIC_2294605,0.4497418701648712
ISIC_4489148,0.0036959508433938026
ISIC_0148210,0.6317417025566101
ISIC_7174145,0.9149494767189026
